Code,Symbol,Name,Market,Sector
079900.KS,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업
088340.KQ,088340,유라클,KOSDAQ,소프트웨어 개발 및 공급업
482520.KQ,482520,교보16호스팩,KOSDAQ,금융 지원 서비스업
199480.KQ,199480,뱅크웨어글로벌,KOSDAQ,소프트웨어 개발 및 공급업
460470.KQ,460470,아이빔테크놀로지,KOSDAQ,사진장비 및 광학기기 제조업
460940.KQ,460940,피앤에스로보틱스,KOSDAQ,의료용 기기 제조업
487570.KS,487570,HS효성,KOSPI,기타 금융업
062040.KS,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
481890.KQ,481890,엔에이치스팩31호,KOSDAQ,금융 지원 서비스업
473950.KQ,473950,SK증권제13호스팩,KOSDAQ,금융 지원 서비스업
373110.KQ,373110,엑셀세라퓨틱스,KOSDAQ,기초 의약물질 제조업
478110.KQ,478110,이베스트스팩6호,KOSDAQ,금융 지원 서비스업
462870.KS,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업
450330.KQ,450330,하스,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업
462350.KQ,462350,이노스페이스,KOSDAQ,"항공기,우주선 및 부품 제조업"
481850.KS,481850,신한글로벌액티브리츠,KOSPI,신탁업 및 집합투자업
295310.KQ,295310,에이치브이엠,KOSDAQ,1차 비철금속 제조업
266350.KS,266350,팡스카이,KOSPI,소프트웨어 개발 및 공급업
160190.KQ,160190,하이젠알앤엠,KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
479880.KQ,479880,한국제15호스팩,KOSDAQ,금융 지원 서비스업
464080.KQ,464080,에스오에스랩,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
464080.KQ,464080,에스오에스랩,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
478440.KQ,478440,미래에셋비전스팩6호,KOSDAQ,금융 지원 서비스업
477340.KQ,477340,에이치엠씨제7호스팩,KOSDAQ,금융 지원 서비스업
034230.KS,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업
107640.KQ,107640,한중엔시에스,KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
478390.KQ,478390,KB제29호스팩,KOSDAQ,금융 지원 서비스업
477470.KQ,477470,미래에셋비전스팩5호,KOSDAQ,금융 지원 서비스업
458870.KQ,458870,씨어스,KOSDAQ,의료용 기기 제조업
477760.KQ,477760,디비금융스팩12호,KOSDAQ,기타 금융업
462510.KQ,462510,라메디텍,KOSDAQ,의료용 기기 제조업
453450.KQ,453450,그리드위즈,KOSDAQ,"그외 기타 전문, 과학 및 기술 서비스업"
323350.KQ,323350,다원넥스뷰,KOSDAQ,특수 목적용 기계 제조업
